numero_processo;classe;assuntos;municipio;data_ajuizamento;data_ajuizamento_hora;ultima_atualização_hora;formato;codigo;orgao_julgador;ultima_atualizaçao
5,01E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;10/07/2013;09:42:31;12:00:16;Eletrônico;5,01E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;02/03/2025 00:00
8,08E+18;Petição Cível;Indenização por Dano Ambiental;Altamira;17/09/2024;06:23:36;09:30:30;Eletrônico;8,08E+18;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;02/03/2025 00:00
1,00E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;12:28:48;17:40:12;Físico;1,00E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;08/10/2024 00:00
9,55E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;15:10:25;17:40:24;Físico;9,55E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;08/10/2024 00:00
7,09E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;12/09/2013;05:49:55;17:40:22;Físico;7,09E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;08/10/2024 00:00
7,13E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;12/09/2013;09:38:42;04:39:01;Físico;7,13E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;09/10/2024 00:00
9,87E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;20/11/2013;08:16:58;04:39:22;Físico;9,87E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;09/10/2024 00:00
9,70E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;11:10:03;04:47:53;Físico;9,70E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;09/10/2024 00:00
9,77E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;11:58:20;10:07:06;Físico;9,77E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;09/10/2024 00:00
9,64E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;07:15:44;11:40:45;Físico;9,64E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
1,01E+17;Cumprimento de sentença;Indenização por Dano Ambiental;Altamira;21/11/2013;14:02:18;11:46:53;Físico;1,01E+17;2ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,35E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;17/09/2013;08:43:37;11:46:56;Físico;7,35E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,48E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;12:27:48;12:17:58;Físico;9,48E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,73E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;18/11/2013;11:15:22;12:18:01;Físico;9,73E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
1,00E+17;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;21/11/2013;11:40:55;12:17:57;Físico;1,00E+17;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,38E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;14/11/2013;07:28:18;12:20:37;Físico;9,38E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,19E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;07:55:41;12:20:45;Físico;7,19E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,19E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;07:28:16;12:20:55;Físico;7,19E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
9,30E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/11/2013;13:45:17;13:04:07;Físico;9,30E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
7,20E+16;Procedimento Comum Cível;Indenização por Dano Ambiental;Altamira;13/09/2013;08:34:32;15:26:54;Físico;7,20E+16;1ª VARA CÍVEL E EMPRESARIAL DE ALTAMIRA;15/10/2024 00:00
